ItemNumber,InventoryUnitSymbol,UnitCost,PurchId,InvoiceId,PackingSlipId,PurchUnit,PurchPrice,InvoiceDocumentDate,CreatedDateTimeInvoice,NumUnit,UnitPrice
100113,U.,1.3,MSA-009741,F316-00003890,706-0010783,Emp.60,78.0786,2021-03-15,2021-03-22T17:40:58Z,60,1.3
100114,U.,3.39,MSA-009001,F316-00001385,706-0003920,Emp.24,81.035,2021-02-23,2021-03-01T19:23:12Z,24,3.38
100114,U.,3.39,MSA-009001,F316-00001385,706-0003920,Emp.24,81.035,2021-02-23,2021-03-01T19:23:12Z,24,3.38
100115,U.,36.9,MSA-009741,F316-00003890,706-0010783,Emp.4,147.5944,2021-03-15,2021-03-22T17:40:58Z,4,36.9
100116,U.,1.4,MSA-008629,F721-00000325,721-0000795,Emp.60,83.9322,2021-02-05,2021-02-12T19:36:43Z,60,1.4
100117,U.,8.04,MSA-008629,F721-00000325,721-0000795,Emp.16,128.6694,2021-02-05,2021-02-12T19:36:43Z,16,8.04
100118,U.,0,,,,,,,,,
100119,U.,2.89,MSA-004955,F001-00525364,600-2154316,Emp.30,87.1778,2020-11-13,2020-11-20T19:56:19Z,30,2.91
100120,U.,36.9,MSA-006251,F001-00531942,600-2168608,Emp.4,147.602,2020-12-15,2020-12-22T21:42:59Z,4,36.9
100121,U.,3.55,MSA-006845,F003-01489207,029-001834,Emp.24,85.2203,2021-01-05,2021-01-05T19:20:10Z,24,3.55
100122,U.,5.64,MSA-008027,F003-01533528,010-003050,Emp.15,84.625,2021-01-27,2021-01-29T19:21:05Z,15,5.64
100123,U.,11.1,MSA-006762,F003-01468094,019-0000995,Emp.12,133.221,2020-12-21,2020-12-26T16:47:25Z,12,11.1
100124,U.,5.64,MSA-008629,F721-00000325,721-0000795,Emp.15,90.8305,2021-02-05,2021-02-12T19:36:43Z,15,6.06
100125,U.,22.76,MSA-008641,F721-00000320,721-0000782,Emp.7,159.327,2021-02-05,2021-02-12T19:13:01Z,7,22.76
100126,U.,36.9,MSA-007482,F001-00539707,600-2186426,Emp.4,147.602,2021-01-23,2021-01-30T18:48:23Z,4,36.9
100127,U.,3.81,MSA-006251,F001-00531942,600-2168608,Emp.24,91.46,2020-12-15,2020-12-22T21:42:59Z,24,3.81
100128,U.,3.07,MSA-008641,F721-00000320,721-0000782,Emp.24,73.714,2021-02-05,2021-02-12T19:13:01Z,24,3.07
100129,U.,1.65,MSA-008654,F721-00000322,721-0000788,Emp.48,79.1731,2021-02-05,2021-02-12T19:28:47Z,48,1.65
100130,U.,1.68,MSA-009741,F316-00003890,706-0010783,Emp.48,81.098,2021-03-15,2021-03-22T17:40:58Z,48,1.69
100131,U.,3.07,MSA-008641,F721-00000320,721-0000782,Emp.24,73.715,2021-02-05,2021-02-12T19:13:01Z,24,3.07
100132,U.,1.69,MSA-009741,F316-00003890,706-0010783,Emp.48,81.098,2021-03-15,2021-03-22T17:40:58Z,48,1.69
100133,U.,3.07,MSA-008629,F721-00000325,721-0000796,Emp.24,73.717,2021-02-05,2021-02-12T19:36:43Z,24,3.07
100134,U.,1.51,MSA-008629,F721-00000325,721-0000795,Emp.48,80.5444,2021-02-05,2021-02-12T19:36:43Z,48,1.68
100135,U.,1.65,MSA-008654,F721-00000322,721-0000788,Emp.48,79.1737,2021-02-05,2021-02-12T19:28:47Z,48,1.65
100136,U.,1.65,MSA-009741,F316-00003890,706-0010783,Emp.48,81.098,2021-03-15,2021-03-22T17:40:58Z,48,1.69
100137,U.,3.07,MSA-008629,F721-00000325,721-0000796,Emp.24,73.7139,2021-02-05,2021-02-12T19:36:43Z,24,3.07
100138,U.,0.66,MSA-008272,F721-00000315,721-0000766,Emp.144,94.348,2021-02-05,2021-02-09T18:39:12Z,144,0.66
100139,U.,0,,,,,,,,,
100140,U.,0,,,,,,,,,
100141,U.,5.62,MSA-003531,F001-00519474,600-2140559,Emp.12,67.4407,2020-10-14,2020-10-22T14:00:18Z,12,5.62
100142,U.,0,,,,,,,,,
100143,U.,0,,,,,,,,,
100144,U.,0,,,,,,,,,
100145,U.,4.42,MSA-008629,F721-00000325,721-0000796,Emp.24,106.015,2021-02-05,2021-02-12T19:36:43Z,24,4.42
100146,U.,10.23,MSA-008629,F721-00000325,721-0000796,Emp.6,61.391,2021-02-05,2021-02-12T19:36:43Z,6,10.23
100147,U.,1.91,MSA-008628,F721-00000319,721-0000779,Emp.48,91.611,2021-02-05,2021-02-12T16:04:12Z,48,1.91
100148,U.,6.46,MSA-007482,F001-00539707,600-2186426,Emp.12,79.0677,2021-01-23,2021-01-30T18:48:23Z,12,6.59
100149,U.,95.44,MSA-008707,F316-00001524,706-0004300,U,95.442,2021-02-24,2021-03-03T21:50:37Z,1,95.44
100150,U.,24.72,MSA-008707,F316-00001524,706-0004296,U,24.619,2021-02-24,2021-03-03T21:50:37Z,1,24.62
100151,U.,4.78,MSA-006839,F001-00535260,600-2175049,Emp.12,57.222,2020-12-30,2021-01-07T20:26:12Z,12,4.77
100152,U.,2.42,MSA-002209,F001-00513217,600-2126569,Emp.24,62.6186,2020-09-15,2020-09-21T19:01:18Z,24,2.61
100153,U.,111.47,MSA-009588,F316-00003458,706-0009540,U,111.4678,2021-03-11,2021-03-15T18:41:07Z,1,111.47
